Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
1,1.0,1.0,NO,N/A,44.06%,59.16%,199.3%,54.43%,103.89,0.5651,5.677,0.239,0.976,0.637,-0.103
2,1.0,1.0,YES,2.15e-04,31.37%,51.7%,199.2%,43.45%,103.76,0.4792,5.4711,0.177,0.974,0.735,-0.091
3*,0.99,0.99,YES,3.82e-01,26.67%,48.21%,199.0%,41.01%,100.9,0.422,5.3106,0.14,0.97,0.788,-0.043
4,0.95,0.82,YES,Most Stab Sigs,25.46%,47.43%,198.1%,40.21%,99.9,0.408,4.6505,0.134,0.926,0.796,-0.011
5,0.78,0.43,NO,N/A,24.79%,46.81%,198.5%,39.91%,100.1,0.4045,4.8768,0.131,0.941,0.801,-0.036
6,0.69,-0.05,NO,N/A,24.3%,46.4%,198.3%,39.45%,100.0,0.3996,4.7913,0.129,0.937,0.806,-0.025
7,0.55,-0.22,NO,N/A,23.92%,46.2%,198.4%,38.74%,100.2,0.3945,4.8224,0.125,0.942,0.811,-0.025
8,0.55,-0.07,NO,N/A,23.3%,45.55%,198.2%,38.12%,100.2,0.3898,4.7033,0.122,0.94,0.816,-0.012
9,0.41,-0.18,NO,N/A,22.99%,45.71%,198.7%,38.18%,100.7,0.3902,5.0095,0.12,0.959,0.821,-0.03
10,0.39,-0.15,NO,N/A,22.67%,45.07%,197.4%,37.52%,100.1,0.3844,4.3482,0.118,0.924,0.823,0.019
